Date, Open, High, Low, Close
6/26/2014,16866.81,16872.52,16746.09,16846.13
6/25/2014,16817.68,16883.54,16799.41,16867.51
6/24/2014,16934.62,16969.7,16805.23,16818.13
6/23/2014,16946.5,16954.27,16896.09,16937.26
6/20/2014,16920.62,16978.02,16920.62,16947.08
6/19/2014,16909.9,16923.43,16858.88,16921.46
6/18/2014,16806.12,16911.41,16755.29,16906.62
6/17/2014,16779.21,16823.55,16732.91,16808.49
6/16/2014,16765.56,16802.14,16722.86,16781.01
6/13/2014,16734.64,16787.89,16718.6,16775.74
6/12/2014,16840.48,16841.57,16703.73,16734.19
6/11/2014,16943.16,16943.16,16821.85,16843.88
6/10/2014,16940.4,16946.34,16897.44,16945.92
6/9/2014,16926.08,16970.17,16912.92,16943.1
6/6/2014,16839.64,16924.28,16839.64,16924.28
6/5/2014,16739.14,16845.81,16709.95,16836.11
6/4/2014,16720,16742.91,16673.65,16737.53
6/3/2014,16736.7,16736.7,16690.01,16722.34
6/2/2014,16716.85,16756.64,16682.07,16743.63
5/30/2014,16697.33,16721.22,16648.85,16717.17
5/29/2014,16637.74,16698.74,16620.43,16698.74
5/28/2014,16674.98,16674.98,16620.22,16633.18
5/27/2014,16607.42,16688.69,16607.42,16675.5
5/23/2014,16544.49,16613.07,16544.49,16606.27
5/22/2014,16532.74,16565.39,16489.61,16543.08
5/21/2014,16376.17,16544.6,16376.17,16533.06
5/20/2014,16511.22,16511.22,16341.3,16374.31
5/19/2014,16490.35,16526.26,16442.12,16511.86
5/16/2014,16447.32,16498.99,16414.32,16491.31
5/15/2014,16613.52,16622.9,16397.46,16446.81
5/14/2014,16716.08,16717.56,16595,16613.97
5/13/2014,16695.92,16735.51,16695.92,16715.44
5/12/2014,16584.82,16704.84,16584.82,16695.47
5/9/2014,16551.23,16588.77,16498.71,16583.34
5/8/2014,16518.16,16622.95,16502.01,16550.97
5/7/2014,16401.66,16522.94,16357.35,16518.54
5/6/2014,16529.85,16529.85,16399.99,16401.02
5/5/2014,16509.75,16547.92,16377.09,16530.55
5/2/2014,16562.34,16620.06,16488.31,16512.89
5/1/2014,16580.26,16604.79,16525.25,16558.87
4/30/2014,16534.86,16592.28,16510.87,16580.84
4/29/2014,16451.18,16559.39,16451.18,16535.37
4/28/2014,16363.2,16500.37,16312.66,16448.74
4/25/2014,16503.26,16503.26,16333.78,16361.46
4/24/2014,16503.39,16541.26,16452.3,16501.65
4/23/2014,16513.73,16525.99,16477.28,16501.65
4/22/2014,16449.38,16565.71,16449.38,16514.37
4/21/2014,16408.92,16459.78,16402.08,16449.25
4/17/2014,16424.14,16460.49,16368.14,16408.54
4/16/2014,16266.23,16424.85,16266.23,16424.85
4/15/2014,16173.49,16272.95,16063.2,16262.56
4/14/2014,16028.29,16184.76,16028.29,16173.24
4/11/2014,16168.87,16168.87,16015.32,16026.75
4/10/2014,16437.24,16456.12,16153.34,16170.22
4/9/2014,16256.37,16438.82,16256.37,16437.18
4/8/2014,16245.16,16296.86,16180.28,16256.14
4/7/2014,16414.15,16421.38,16244.01,16245.87
4/4/2014,16576.02,16631.63,16392.77,16412.71
4/3/2014,16572.36,16604.15,16527.6,16572.55
4/2/2014,16532.8,16588.19,16506.6,16573
4/1/2014,16458.05,16565.73,16457.6,16532.61
3/31/2014,16324.22,16480.85,16324.22,16457.66
3/28/2014,16267.77,16414.86,16267.77,16323.06
3/27/2014,16268.67,16300.94,16191.79,16264.23
3/26/2014,16370.71,16466.04,16268.99,16268.99
3/25/2014,16279.2,16407.18,16279.2,16367.88
3/24/2014,16303.28,16380.51,16215.56,16276.69
3/21/2014,16332.69,16456.45,16290.79,16302.77
3/20/2014,16221.98,16353.98,16160.33,16331.05
3/19/2014,16335.71,16363.32,16126.29,16222.17
3/18/2014,16245.93,16369.94,16245.93,16336.19
3/17/2014,16066.37,16270.34,16066.37,16247.22
3/14/2014,16106.32,16165.05,16046.99,16065.67
3/13/2014,16341.55,16405.07,16084.1,16108.89
3/12/2014,16350.67,16364.74,16260.03,16340.08
3/11/2014,16419.39,16460.33,16325.17,16351.25
3/10/2014,16453.1,16453.1,16334.2,16418.68
3/7/2014,16424.53,16505.7,16398.86,16452.72
3/6/2014,16360.56,16450.17,16360.56,16421.89
3/5/2014,16395.88,16406.55,16343.96,16360.18
3/4/2014,16169.32,16419.49,16169.32,16395.88
3/3/2014,16321.71,16321.71,16071.25,16168.03
2/28/2014,16273.23,16398.95,16226.09,16321.71
2/27/2014,16197.7,16276.28,16159.81,16272.65
2/26/2014,16180.36,16252.35,16155.86,16198.41
2/25/2014,16207.34,16254.26,16147.25,16179.66
2/24/2014,16102.27,16300.04,16102.27,16207.14
2/21/2014,16135.92,16191.92,16093.8,16103.3
2/20/2014,16044.15,16161.64,16006.59,16133.23
2/19/2014,16126.23,16225.72,16031.66,16040.56
2/18/2014,16153.97,16167.33,16107.04,16130.4
2/14/2014,16018.08,16175.55,15985.39,16154.39
2/13/2014,15946.99,16039.37,15863.25,16027.59
2/12/2014,15993.04,16036.56,15928.75,15963.94
2/11/2014,15804.17,16027.19,15803.4,15994.77
2/10/2014,15793.63,15801.79,15733.69,15801.79
2/7/2014,15630.64,15798.51,15625.53,15794.08
2/6/2014,15443.83,15632.09,15443,15628.53
2/5/2014,15443,15478.21,15340.69,15440.23
2/4/2014,15372.93,15481.85,15356.62,15445.24
2/3/2014,15697.69,15708.54,15356.17,15372.8
1/31/2014,15847.19,15847.19,15617.55,15698.85
1/30/2014,15743.03,15907.53,15733.27,15848.61
1/29/2014,15927.08,15927.08,15708.98,15738.79
1/28/2014,15840.84,15945.89,15840.84,15928.56
1/27/2014,15879.05,15942.77,15783.55,15837.88
1/24/2014,16203.29,16203.29,15879.11,15879.11
1/23/2014,16371.99,16372.96,16140.58,16197.35
1/22/2014,16420.48,16453.49,16332.98,16373.34
1/21/2014,16459.27,16520.6,16316.25,16414.44
1/17/2014,16408.02,16495.26,16378.8,16458.56
1/16/2014,16477.7,16477.7,16375.56,16417.01
1/15/2014,16378.03,16505.28,16376.78,16481.94
1/14/2014,16261.99,16373.92,16260.83,16373.86
1/13/2014,16434.03,16453.13,16240.6,16257.94
1/10/2014,16453.62,16487.65,16379.02,16437.05
1/9/2014,16471.41,16525.35,16378.61,16444.76
1/8/2014,16527.66,16528.88,16416.69,16462.74
1/7/2014,16429.02,16562.32,16429.02,16530.94
1/6/2014,16474.04,16532.99,16405.52,16425.1
1/3/2014,16456.89,16518.74,16439.3,16469.99
1/2/2014,16572.17,16573.07,16416.49,16441.35
12/31/2013,16512.38,16588.25,16511.48,16576.66
12/30/2013,16484.51,16504.35,16476.87,16504.29
12/27/2013,16486.37,16529.01,16461.23,16478.41
12/26/2013,16370.97,16483,16370.97,16479.88
12/24/2013,16295.7,16360.6,16295.7,16357.55
12/23/2013,16225.25,16318.11,16225.25,16294.61
12/20/2013,16178.57,16287.84,16178.57,16221.14
12/19/2013,16162.51,16194.72,16121.54,16179.08
12/18/2013,15876.57,16173.04,15808.92,16167.97
12/17/2013,15884.06,15917.96,15836.45,15875.26
12/16/2013,15759.6,15930.31,15759.6,15884.57
12/13/2013,15745.66,15792.8,15717.92,15755.36
12/12/2013,15844.82,15845.11,15703.79,15739.43
12/11/2013,15970.75,15997.22,15827.7,15843.53
12/10/2013,16024.12,16029.06,15969.53,15973.13
12/9/2013,16019.49,16058.4,16015.29,16025.53
12/6/2013,15825.55,16022.35,15825.55,16020.2
12/5/2013,15886.5,15896.19,15809.37,15821.51
12/4/2013,15910.51,15960.36,15791.29,15889.77
12/3/2013,16004.72,16004.72,15859.68,15914.62
12/2/2013,16087.12,16098,15986.23,16008.77
11/29/2013,16105.16,16174.51,16074.14,16086.41
11/27/2013,16073.37,16107.99,16057.34,16097.33
11/26/2013,16070.93,16120.25,16070.93,16072.8
11/25/2013,16072.09,16109.63,16055.46,16072.54
11/22/2013,16008.71,16068.78,15976.27,16064.77
11/21/2013,15908.07,16016.04,15908.07,16009.99
11/20/2013,15971.2,16016.85,15865.37,15900.82
11/19/2013,15974.06,16025.85,15943.78,15967.03
11/18/2013,15962.72,16030.28,15942.17,15976.02
11/15/2013,15876.16,15962.98,15875.9,15961.7
11/14/2013,15806.22,15884.99,15798.74,15876.22
11/13/2013,15739.5,15822.98,15672,15821.63
11/12/2013,15773.15,15793.38,15708.29,15750.67
11/11/2013,15759.28,15791.45,15737.22,15783.1
11/8/2013,15591.54,15764.29,15579.35,15761.78
11/7/2013,15751.31,15797.68,15586.33,15593.98
11/6/2013,15628.72,15750.29,15628.72,15746.88
11/5/2013,15631.22,15651.89,15522.18,15618.22
11/4/2013,15621.2,15658.9,15588.48,15639.12
11/1/2013,15558.01,15649.4,15543.25,15615.55
10/31/2013,15619.92,15651.86,15544.69,15545.75
10/30/2013,15680.74,15721,15574.52,15618.76
10/29/2013,15572.21,15683.08,15572.21,15680.35
10/28/2013,15569.19,15599.09,15533.48,15568.93
